InstitutionID,Symbol,ShortName,EndDate,TotalShare,UnCriculationShares,CirculatingShares,LmtdStateOwnedShares,LmtdStateOwnedSharesRatio,EquityStructureDiversity,MixedEquityStructureOrNOT,NSttOwnedShrhlderRatioSum,OwnershipConcentration,NSttOwnedShrhlderPartic,EquityBalance,EquityIntegration,EquityStrucHerfindalIndex,EquityStrucEntropyIndex,Score_NonStateCapital,Score_EquityDiversity,Score_EquityBalance,Score_EquityIntegration,Score_OpenGovernance,MixedOwnershipScore,MixedOwnershipLevel,ReformStatus
105733,600388,龙净环保,2025-12-31,1270046293.0,,1270046293.0,,,5.0,1,12.5,47.22,0.2647,59.2979,36.0023,0.5612,0.9205,17.25,18.65,13.11,8.73,11.28,69.01,深度混改,正在进行混改
102121,002578,闽发铝业,2024-12-31,938630183.0,77467622.0,861162561.0,,,3.0,1,19.35,50.92,0.38,61.2924,61.2924,0.5057,0.7771,21.01,12.6,13.26,10.36,11.62,68.85,深度混改,正在进行混改
101872,000767,晋控电力,2024-12-31,3076942219.0,164695783.0,2912246436.0,164640883.0,5.3508,4.0,1,19.44,64.12,0.3032,66.055,43.5094,0.5375,0.8256,20.5,15.98,12.18,9.29,10.87,68.82,深度混改,正在进行混改
103405,601328,交通银行,2025-12-31,88363784223.0,31833482023.0,56530302200.0,31833482023.0,36.0255,4.0,1,27.36,79.88,0.3425,78.1491,52.0944,0.5365,0.7328,24.17,15.21,11.32,9.83,8.15,68.69,深度混改,正在进行混改
103698,600874,创业环保,2025-12-31,1570418085.0,,1570418085.0,,,4.0,1,24.15,70.79,0.3411,52.9954,51.7796,0.5338,0.7493,22.79,15.38,11.13,9.81,9.57,68.67,深度混改,正在进行混改
103901,600188,兖矿能源,2025-12-31,10037480544.0,38069460.0,9999411084.0,,,3.0,1,34.38,87.22,0.3942,65.0643,65.0643,0.5043,0.7622,27.55,12.48,10.51,10.56,7.54,68.64,深度混改,正在进行混改
101304,000971,ST 高升,2023-12-31,1048590126.0,201931662.0,846658464.0,,,2.0,1,37.12,37.12,1.0,244.05,,0.6564,0.5274,30.0,6.48,17.5,7.5,7.07,68.54,深度混改,正在进行混改
101692,000096,广聚能源,2024-12-31,528000000.0,17152000.0,510848000.0,17152000.0,3.2485,5.0,1,22.87,80.46,0.2842,41.1775,39.7118,0.5374,0.9578,21.83,18.86,9.74,9.0,9.09,68.52,深度混改,正在进行混改
101214,000915,华特达因,2024-12-31,234331485.0,132650.0,234198835.0,,,4.0,1,13.15,41.13,0.3197,59.7727,46.9979,0.5164,0.8923,17.92,16.46,13.91,9.54,10.67,68.49,深度混改,正在进行混改
10266,600819,耀皮玻璃,2025-12-31,934916069.0,,934916069.0,,,4.0,1,17.66,57.54,0.3069,55.4822,44.2828,0.5474,0.7811,19.76,15.63,12.21,9.33,11.51,68.45,深度混改,正在进行混改
105968,600280,中央商场,2024-12-31,1128334788.0,,1128334788.0,,,2.0,1,58.43,58.43,1.0,138.2959,,0.6224,0.5652,30.0,6.78,14.56,7.5,9.6,68.44,深度混改,正在进行混改
103477,601238,广汽集团,2025-12-31,10197065900.0,,10197065900.0,,,4.0,1,31.41,91.22,0.3443,58.1451,52.5163,0.5257,0.7832,25.92,15.65,9.87,9.86,7.07,68.36,深度混改,正在进行混改
10380563,301020,密封科技,2025-12-31,146400000.0,,146400000.0,,,4.0,1,21.75,71.95,0.3023,45.3787,43.3267,0.5249,0.9018,21.48,16.53,10.71,9.27,10.2,68.19,深度混改,正在进行混改
10188,601607,上海医药,2025-12-31,3708361809.0,81600.0,3708280209.0,,,3.0,1,30.769,88.579,0.3474,124.2589,53.2244,0.5141,0.7988,25.67,12.78,12.38,9.91,7.45,68.19,深度混改,正在进行混改
106308,600455,博通股份,2025-12-31,62458000.0,,62458000.0,,,3.0,1,15.16,35.76,0.4239,73.5922,73.5922,0.4763,0.8286,19.53,13.01,14.76,10.94,9.95,68.18,深度混改,正在进行混改
10879,000697,ST 炼石,2025-12-31,1396088300.0,742980952.0,653107348.0,423775591.0,30.3545,4.0,1,18.45,65.21,0.2829,73.8591,39.4568,0.549,0.8526,19.93,16.19,12.27,8.97,10.75,68.1,深度混改,正在进行混改
105803,600070,*ST 富润,2024-12-31,507420732.0,,507420732.0,,,2.0,1,33.87,33.87,1.0,169.6894,,0.6117,0.5768,29.52,6.89,16.92,7.5,7.23,68.05,深度混改,正在进行混改
